-0.50789081,-1.55508836, 1.58650429,-1.55508836,-1.55508836, 2.6337018,1.0
-0.49218285,-1.5393804 , 1.60221225,-1.5393804 ,-1.5393804 , 2.6494098,1.0
-0.47647489,-1.52367244, 1.61792022,-1.52367244,-1.52367244, 2.6651177,1.0
-0.46076692,-1.50796447, 1.63362818,-1.50796447,-1.50796447, 2.6808257,1.0
-0.44505896,-1.49225651, 1.64933614,-1.49225651,-1.49225651, 2.6965336,1.0
-0.429351  ,-1.47654855, 1.66504411,-1.47654855,-1.47654855, 2.7122416,1.0
-0.41364303,-1.46084058, 1.68075207,-1.46084058,-1.46084058, 2.7279496,1.0
-0.39793507,-1.44513262, 1.69646003,-1.44513262,-1.44513262, 2.7436575,1.0
-0.38222711,-1.42942466, 1.712168  ,-1.42942466,-1.42942466, 2.7593655,1.0
-0.36651914,-1.41371669, 1.72787596,-1.41371669,-1.41371669, 2.7750735,1.0
-0.35081118,-1.39800873, 1.74358392,-1.39800873,-1.39800873, 2.7907814,1.0
-0.33510322,-1.38230077, 1.75929189,-1.38230077,-1.38230077, 2.8064894,1.0
-0.31939525,-1.3665928 , 1.77499985,-1.3665928 ,-1.3665928 , 2.8221974,1.0
-0.30368729,-1.35088484, 1.79070781,-1.35088484,-1.35088484, 2.8379053,1.0
-0.28797933,-1.33517688, 1.80641578,-1.33517688,-1.33517688, 2.8536133,1.0
-0.27227136,-1.31946891, 1.82212374,-1.31946891,-1.31946891, 2.8693212,1.0
-0.2565634 ,-1.30376095, 1.8378317 ,-1.30376095,-1.30376095, 2.8850292,1.0
-0.24085544,-1.28805299, 1.85353967,-1.28805299,-1.28805299, 2.9007372,1.0
-0.22514747,-1.27234502, 1.86924763,-1.27234502,-1.27234502, 2.9164451,1.0
-0.20943951,-1.25663706, 1.88495559,-1.25663706,-1.25663706, 2.9321531,1.0
-0.19373155,-1.2409291 , 1.90066356,-1.2409291 ,-1.2409291 , 2.9478611,1.0
-0.17802358,-1.22522113, 1.91637152,-1.22522113,-1.22522113, 2.9635690,1.0
-0.16231562,-1.20951317, 1.93207948,-1.20951317,-1.20951317, 2.9792770,1.0
-0.14660766,-1.19380521, 1.94778745,-1.19380521,-1.19380521, 2.994985 ,1.0
-0.13089969,-1.17809725, 1.96349541,-1.17809725,-1.17809725, 3.0106929,1.0
-0.11519173,-1.16238928, 1.97920337,-1.16238928,-1.16238928, 3.0264009,1.0
-0.09948377,-1.14668132, 1.99491134,-1.14668132,-1.14668132, 3.0421088,1.0
-0.0837758 ,-1.13097336, 2.0106193 ,-1.13097336,-1.13097336, 3.0578168,1.0
-0.06806784,-1.11526539, 2.02632726,-1.11526539,-1.11526539, 3.0735248,1.0
-0.05235988,-1.09955743, 2.04203522,-1.09955743,-1.09955743, 3.0892327,1.0
-0.03665191,-1.08384947, 2.05774319,-1.08384947,-1.08384947, 3.1049407,1.0
-0.02094395,-1.0681415 , 2.07345115,-1.0681415 ,-1.0681415 , 3.1206487,1.0
-0.00523599,-1.05243354, 2.08915911,-1.05243354,-1.05243354, 3.1363566,1.0
 0.01047198,-1.03672558, 2.10486708,-1.03672558,-1.03672558, 3.1520646,1.0
 0.02617994,-1.02101761, 2.12057504,-1.02101761,-1.02101761, 3.1677725,1.0
 0.0418879 ,-1.00530965, 2.136283  ,-1.00530965,-1.00530965, 3.1834805,1.0
 0.05759587,-0.98960169, 2.15199097,-0.98960169,-0.98960169, 3.1991885,1.0
 0.07330383,-0.97389372, 2.16769893,-0.97389372,-0.97389372, 3.2148964,1.0
 0.08901179,-0.95818576, 2.18340689,-0.95818576,-0.95818576, 3.2306044,1.0
 0.10471976,-0.9424778 , 2.19911486,-0.9424778 ,-0.9424778 , 3.2463124,1.0
 0.12042772,-0.92676983, 2.21482282,-0.92676983,-0.92676983, 3.2620203,1.0
 0.13613568,-0.91106187, 2.23053078,-0.91106187,-0.91106187, 3.2777283,1.0
 0.15184364,-0.89535391, 2.24623875,-0.89535391,-0.89535391, 3.2934363,1.0
 0.16755161,-0.87964594, 2.26194671,-0.87964594,-0.87964594, 3.3091442,1.0
 0.18325957,-0.86393798, 2.27765467,-0.86393798,-0.86393798, 3.3248522,1.0
